380	1.3680000E-03	3.9000000E-05	6.4500010E-03
381	1.5020500E-03	4.2826400E-05	7.0832160E-03
382	1.6423280E-03	4.6914600E-05	7.7454880E-03
383	1.8023820E-03	5.1589600E-05	8.5011520E-03
384	1.9957570E-03	5.7176400E-05	9.4145440E-03
385	2.2360000E-03	6.4000000E-05	1.0549990E-02
386	2.5353850E-03	7.2344210E-05	1.1965800E-02
387	2.8926030E-03	8.2212240E-05	1.3655870E-02
388	3.3008290E-03	9.3508160E-05	1.5588050E-02
389	3.7532360E-03	1.0613610E-04	1.7730150E-02
390	4.2430000E-03	1.2000000E-04	2.0050010E-02
391	4.7623890E-03	1.3498400E-04	2.2511360E-02
392	5.3300480E-03	1.5149200E-04	2.5202880E-02
393	5.9787120E-03	1.7020800E-04	2.8279720E-02
394	6.7411170E-03	1.9181600E-04	3.1897040E-02
395	7.6500000E-03	2.1700000E-04	3.6210000E-02
396	8.7513730E-03	2.4690670E-04	4.1437710E-02
397	1.0028880E-02	2.8124000E-04	4.7503720E-02
398	1.1421700E-02	3.1852000E-04	5.4119880E-02
399	1.2869010E-02	3.5726670E-04	6.0998030E-02
400	1.4310000E-02	3.9600000E-04	6.7850010E-02
401	1.5704430E-02	4.3371470E-04	7.4486320E-02
402	1.7147440E-02	4.7302400E-04	8.1361560E-02
403	1.8781220E-02	5.1787600E-04	8.9153640E-02
404	2.0748010E-02	5.7221870E-04	9.8540480E-02
405	2.3190000E-02	6.4000000E-04	1.1020000E-01
406	2.6207360E-02	7.2456000E-04	1.2461330E-01
407	2.9782480E-02	8.2550000E-04	1.4170170E-01
408	3.3880920E-02	9.4116000E-04	1.6130350E-01
409	3.8468240E-02	1.0698800E-03	1.8325680E-01
410	4.3510000E-02	1.2100000E-03	2.0740000E-01
411	4.8995600E-02	1.3620910E-03	2.3369210E-01
412	5.5022600E-02	1.5307520E-03	2.6261140E-01
413	6.1718800E-02	1.7203680E-03	2.9477460E-01
414	6.9212000E-02	1.9353230E-03	3.3079850E-01
415	7.7630000E-02	2.1800000E-03	3.7130000E-01
416	8.6958110E-02	2.4548000E-03	4.1620910E-01
417	9.7176720E-02	2.7640000E-03	4.6546420E-01
418	1.0840630E-01	3.1178000E-03	5.1969480E-01
419	1.2076720E-01	3.5264000E-03	5.7953030E-01
420	1.3438000E-01	4.0000000E-03	6.4560000E-01
421	1.4935820E-01	4.5462400E-03	7.1848380E-01
422	1.6539570E-01	5.1593200E-03	7.9671330E-01
423	1.8198310E-01	5.8292800E-03	8.7784590E-01
424	1.9861100E-01	6.5461600E-03	9.5943900E-01
425	2.1477000E-01	7.3000000E-03	1.0390501E+00
426	2.3018680E-01	8.0865070E-03	1.1153673E+00
427	2.4487970E-01	8.9087200E-03	1.1884971E+00
428	2.5877730E-01	9.7676800E-03	1.2581233E+00
429	2.7180790E-01	1.0664430E-02	1.3239296E+00
430	2.8390000E-01	1.1600000E-02	1.3856000E+00
431	2.9494380E-01	1.2573170E-02	1.4426352E+00
432	3.0489650E-01	1.3582720E-02	1.4948035E+00
433	3.1378730E-01	1.4629680E-02	1.5421903E+00
434	3.2164540E-01	1.5715090E-02	1.5848807E+00
435	3.2850000E-01	1.6840000E-02	1.6229600E+00
436	3.3435130E-01	1.8007360E-02	1.6564048E+00
437	3.3921010E-01	1.9214480E-02	1.6852959E+00
438	3.4312130E-01	2.0453920E-02	1.7098745E+00
439	3.4612960E-01	2.1718240E-02	1.7303821E+00
440	3.4828000E-01	2.3000000E-02	1.7470600E+00
441	3.4959990E-01	2.4294610E-02	1.7600446E+00
442	3.5014740E-01	2.5610240E-02	1.7696233E+00
443	3.5001300E-01	2.6958570E-02	1.7762637E+00
444	3.4928700E-01	2.8351250E-02	1.7804334E+00
445	3.4806000E-01	2.9800000E-02	1.7826000E+00
446	3.4637330E-01	3.1310830E-02	1.7829682E+00
